seconds,X,Y,Z
22.995,-3.222049,-5.493946,-0.367318
23.004,-3.24716,-5.350687,-0.411611
23.013,-3.227681,-5.25285,-0.37725
23.021,-3.347276,-5.084949,-0.369071
23.031,-3.393819,-4.901745,-0.549555
23.04,-3.253232,-4.695585,-0.618518
23.049,-2.805047,-4.402746,-0.808809
23.058,-2.630289,-4.281628,-0.870168
23.067,-2.556883,-4.201441,-1.101189
23.076,-2.509344,-4.333294,-1.653359
23.085,-2.511393,-4.718598,-2.0609
23.094,-2.440151,-5.360053,-2.824411
23.103,-2.251622,-6.429696,-4.077996
23.112,-2.154073,-8.072712,-6.170394
23.121,-1.9163,-10.280951,-8.865911
23.13,-1.75246,-12.747295,-11.615996
23.139,-1.287487,-15.50101,-14.010312
23.148,-0.220257,-17.544241,-14.590974
23.157,0.797729,-17.80518,-13.026105
23.166,1.261859,-16.140041,-10.826897
23.175,0.9715,-13.600694,-8.771465
23.184,0.535018,-11.147393,-7.335882
23.193,-0.345349,-7.338745,-5.5588
23.202,-0.84658,-5.556578,-4.116265
23.211,-1.572244,-5.580721,-3.180419
23.22,-2.611394,-6.223699,-2.443599
23.229,-3.233254,-8.093187,-1.900671
23.238,-4.213623,-10.299893,-1.346662
23.247,-5.090034,-12.941561,-1.35847
23.256,-5.071935,-14.897575,-1.070697
23.265,-4.633221,-15.086862,-1.22427
23.274,-3.963543,-13.23351,-2.115124
23.283,-3.890942,-10.80532,-2.016157
23.292,-4.748276,-8.370282,-0.595371
23.301,-5.511165,-6.462956,0.287678
23.31,-6.347307,-4.808007,0.647517
23.319,-6.917672,-3.793143,0.960458
23.328,-6.962827,-3.605198,1.692873
23.337,-6.718839,-4.238561,2.274041
23.346,-5.932947,-5.453791,2.519783
23.355,-4.52258,-7.053529,2.398818
23.364,-2.621459,-8.877413,1.587145
23.373,-0.996524,-10.771216,0.196784
23.382,0.041621,-12.297348,-0.570557
23.391,0.629426,-13.029045,-0.706711
23.4,0.626227,-12.809755,-0.670759
23.409,0.628708,-12.004699,-0.45485
23.418,0.348165,-11.236084,-0.62232
23.427,-0.200414,-10.334724,-0.771038
